"filename", "language", "JSON", "Markdown", "YAML", "PostCSS", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\concepts\events.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 28, 74
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\concepts\state-storage.md", "Markdown", 0, 78, 0, 0, 0, 0, 0, 0, 0, 42, 120
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\events\heal-reset.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 32, 105
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\events\levelup.md", "Markdown", 0, 52, 0, 0, 0, 0, 0, 0, 0, 26, 78
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\events\rest.md", "Markdown", 0, 75, 0, 0, 0, 0, 0, 0, 0, 29, 104
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\events\templates-events.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 0, 0, 42, 119
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\examples\sorcerer.md", "Markdown", 0, 217, 0, 0, 0, 0, 0, 0, 0, 56, 273
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\index.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\vitals and damage\damage.md", "Markdown", 0, 79, 0, 0, 0, 0, 0, 0, 0, 34, 113
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\docs\vitals and damage\vitals-trackers.md", "Markdown", 0, 180, 0, 0, 0, 0, 0, 0, 0, 62, 242
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\manifest.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\mkdocs.yml", "YAML", 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\package-lock.json", "JSON", 5339, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5340
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\scripts\build-css.mjs", "JavaScript", 0, 0, 0, 0, 62, 0, 0, 0, 3, 13, 78
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\badges.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 64, 0, 12, 8, 84
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\consumables-block.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 118, 0, 27, 16, 161
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\damage-vault.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 104, 0, 18, 24, 146
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\domain-picker.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 830, 0, 65, 123, 1018
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\equipment-picker.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 669, 0, 42, 87, 798
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\experiences.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 103, 0, 19, 19, 141
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\features.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 223, 0, 37, 34, 294
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\level-up.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 1, 8, 53
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\rest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 159, 0, 26, 17, 202
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\spell.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 530, 0, 25, 54, 609
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\trackers-block.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 132, 0, 25, 11, 168
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\traits.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 8, 2, 11
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\blocks\vitals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 178, 0, 22, 18, 218
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 3, 39
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\abilityscoreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 8, 6, 33
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\badges-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 6, 4, 34
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\consumables-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 7, 44
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\controls-row.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 80, 4, 14, 98
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\damage-inline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 114, 12, 12, 138
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\rest-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\rest-row.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 3, 27
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\state\kv-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 10, 59
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\trackers-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 10, 10, 93
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\components\traits.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 2, 6, 57
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\core\abilities.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 106, 0, 33, 20, 159
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\core\damage-calculator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 86, 0, 21, 21, 128
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\lib\services\kv\kv.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\lib\services\kv\local-file-store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\lib\services\stateStore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 72, 0, 20, 17, 109
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 0, 19, 3, 50
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\common.css", "PostCSS", 0, 0, 0, 132, 0, 0, 0, 0, 174, 17, 323
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\active-hand.css", "PostCSS", 0, 0, 0, 85, 0, 0, 0, 0, 9, 9, 103
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\badges.css", "PostCSS", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\codeblock-frame.css", "PostCSS", 0, 0, 0, 174, 0, 0, 0, 0, 10, 15, 199
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\consumables.css", "PostCSS", 0, 0, 0, 71, 0, 0, 0, 0, 13, 11, 95
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\damage.css", "PostCSS", 0, 0, 0, 123, 0, 0, 0, 0, 11, 15, 149
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\domain-picker-filters.css", "PostCSS", 0, 0, 0, 13, 0, 0, 0, 0, 5, 5, 23
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\domain-picker.css", "PostCSS", 0, 0, 0, 249, 0, 0, 0, 0, 8, 34, 291
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\experiences.css", "PostCSS", 0, 0, 0, 59, 0, 0, 0, 0, 3, 11, 73
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\features.css", "PostCSS", 0, 0, 0, 151, 0, 0, 0, 0, 20, 16, 187
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\levelup.css", "PostCSS", 0, 0, 0, 235, 0, 0, 0, 0, 21, 10, 266
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\rest-row.css", "PostCSS", 0, 0, 0, 32, 0, 0, 0, 0, 2, 4, 38
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\short-rest.css", "PostCSS", 0, 0, 0, 217, 0, 0, 0, 0, 17, 22, 256
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\spell.css", "PostCSS", 0, 0, 0, 29, 0, 0, 0, 0, 6, 8, 43
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\trackers.css", "PostCSS", 0, 0, 0, 72, 0, 0, 0, 0, 11, 15, 98
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\traits.css", "PostCSS", 0, 0, 0, 89, 0, 0, 0, 0, 12, 16, 117
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\styles\components\vitals.css", "PostCSS", 0, 0, 0, 80, 0, 0, 0, 0, 10, 17, 107
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\ui\levelup-modal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 361, 0, 25, 43, 429
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\ui\rest-modals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 265, 0, 11, 50, 326
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\ui\settings-tab.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 195, 0, 9, 23, 227
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\utils\callout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 4, 6, 25
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\utils\codeblock-extractor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 6, 4, 27
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\utils\events.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 9, 14, 86
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\utils\liveBlock.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 75, 0, 18, 14, 107
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\utils\number.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 2, 3, 13
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\utils\reactRoot.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 9, 4, 32
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\utils\template.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 128, 0, 21, 15, 164
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\src\utils\yaml.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 7, 3, 18
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\styles.css", "PostCSS", 0, 0, 0, 1838, 0, 0, 0, 0, 350, 225, 2413
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"d:\Projects\TTRPG\Vault\DH UI ToolTip\.obsidian\plugins\DH-UI\version-bump.mjs", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 3, 4, 18
"Total", "-", 5388, 2132, 68, 3676, 73, 21, 4745, 513, 1272, 2028, 19916
